CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0184,0.9940860392728573
C0001,C0192,0.9936579522253058
C0001,C0112,0.9884238286228844
C0002,C0134,0.9896709237653694
C0002,C0040,0.9884913069614721
C0002,C0106,0.9834965075055733
C0003,C0052,0.9965122787711371
C0003,C0031,0.9956515859335413
C0003,C0076,0.9955701479019959
C0004,C0165,0.9942947356840931
C0004,C0155,0.9923483699935739
C0004,C0169,0.9919013318902516
C0005,C0007,0.9987777615620198
C0005,C0140,0.9768231873482176
C0005,C0186,0.9613188501844061
C0006,C0137,0.9913445647348974
C0006,C0191,0.9893499448033393
C0006,C0126,0.9877825030113511
C0007,C0005,0.9987777615620198
C0007,C0140,0.9695145648500335
C0007,C0186,0.9525680807552775
C0008,C0059,0.9829013459966449
C0008,C0065,0.9789643919640681
C0008,C0189,0.953679390764243
C0009,C0061,0.991424164562953
C0009,C0062,0.9852869238052719
C0009,C0010,0.9736906570486986
C0010,C0062,0.995257851256374
C0010,C0061,0.9905000796764254
C0010,C0103,0.9875572129307074
C0011,C0174,0.9977493121828841
C0011,C0171,0.9952652278284094
C0011,C0168,0.9930510581877686
C0012,C0195,0.996247741410328
C0012,C0163,0.9725942223927181
C0012,C0003,0.9691404708335296
C0013,C0099,0.9725281016878389
C0013,C0108,0.9502243790438352
C0013,C0107,0.9460324061580522
C0014,C0089,0.9799193362467123
C0014,C0172,0.9228828809473512
C0014,C0164,0.9156209067256328
C0015,C0094,0.9751221829008951
C0015,C0185,0.970503220904724
C0015,C0036,0.9668480474047069
C0016,C0183,0.9991119475370256
C0016,C0030,0.9948276917089417
C0016,C0067,0.991543815007422
C0017,C0041,0.9931053497144193
C0017,C0075,0.9895379435880464
C0017,C0081,0.9842197210309538
C0018,C0046,0.9903060688243179
C0018,C0117,0.9867201833153197
C0018,C0194,0.9760755417172867
C0019,C0135,0.9822956491381988
C0019,C0121,0.980399759194762
C0019,C0023,0.974366270525162
C0020,C0050,0.9740971999669463
C0020,C0035,0.9597123208974722
C0020,C0157,0.9494463772030726
